iter	Accuracy	Logloss
0	0.8577559118	0.6636779913
1	0.8588604983	0.6364818697
2	0.8595143628	0.6113676422
3	0.8598063799	0.5881675869
4	0.8601237899	0.5677100075
5	0.8610125377	0.5486059248
6	0.8611712427	0.5308235788
7	0.861437867	0.5146026643
8	0.8606506904	0.4999670774
9	0.860352325	0.4867763157
10	0.8603015394	0.4744245201
11	0.8611648945	0.4631373672
12	0.8616727504	0.4528407551
13	0.8618949373	0.4435513621
14	0.8612855102	0.4351178244
15	0.86153309	0.4272784536
16	0.8614950008	0.4200547269
17	0.8615203936	0.413334056
18	0.8615584828	0.4070150831
19	0.86153309	0.401346335
20	0.8617616251	0.3958950355
21	0.8617552769	0.3909362622
22	0.8618441517	0.386472517
23	0.8618314553	0.3822651244
24	0.8620092049	0.3784611365
25	0.8620028567	0.3753434239
26	0.8620155531	0.3722974505
27	0.8623710522	0.3692500327
28	0.862396445	0.3665155129
29	0.862459927	0.363843419
30	0.8624853198	0.3614169504
31	0.8624535788	0.3592202161
32	0.8624408824	0.3570352282
33	0.8624408824	0.3550920353
34	0.8624662752	0.353225365
35	0.8625995874	0.3515660743
36	0.8626948103	0.349931793
37	0.862650373	0.3483931342
38	0.8626948103	0.3470345666
39	0.8628217743	0.3457610976
40	0.8628979527	0.344464708
41	0.8628916045	0.3433516425
42	0.8628979527	0.3422677965
43	0.8628725599	0.3411428242
44	0.8628725599	0.3401908457
45	0.8629995239	0.3392122461
46	0.8631772734	0.3384522237
47	0.8633613712	0.3376400194
48	0.8634058086	0.3368265521
49	0.8633931122	0.3362456343
50	0.8634058086	0.3355260128
51	0.863418505	0.3348760902
52	0.8634629424	0.3343355443
53	0.863545469	0.3337768376
54	0.8635835582	0.3333121663
55	0.8637041739	0.3327353753
56	0.8637295667	0.3321952533
57	0.8638311379	0.3317222746
58	0.8638374861	0.3312760284
59	0.8638755753	0.3309098061
60	0.8639200127	0.3305650991
61	0.8638247897	0.3302046422
62	0.8637613077	0.329825324
63	0.8638374861	0.3294604009
64	0.8639136645	0.3290983186
65	0.8639136645	0.3287613254
66	0.8640342803	0.3284420871
67	0.8641929852	0.3281552594
68	0.8641421997	0.3278732666
69	0.8642628154	0.3276102834
70	0.8642120298	0.3273506451
71	0.8643199492	0.3271393499
72	0.8643897794	0.3269022111
73	0.8642882082	0.3266718712
74	0.8643326456	0.3264757362
75	0.864408824	0.3262608486
76	0.8643707348	0.3261046783
77	0.8643389938	0.3259271052
78	0.86428186	0.325763302
79	0.8643580384	0.3255936416
80	0.8644532614	0.3253964396
81	0.8643834312	0.3252604531
82	0.8643961276	0.3251042477
83	0.864377083	0.3249484759
84	0.8644215204	0.3247950405
85	0.8643897794	0.3246460539
86	0.864440565	0.3245310284
87	0.864440565	0.324389316
88	0.8645294398	0.3242420716
89	0.8644913506	0.3241187877
90	0.8645103952	0.3239819035
91	0.864504047	0.3238557755
92	0.8644850024	0.3237569421
93	0.8645103952	0.3236704034
94	0.8644596096	0.3235565909
95	0.864504047	0.3234510501
96	0.864504047	0.3233582243
97	0.8645421362	0.3232350279
