iter	Passed	Remaining
0	24	61554
1	44	55433
2	66	55560
3	89	55622
4	109	54434
5	130	54101
6	150	53737
7	170	53007
8	190	52675
9	212	52971
10	234	52952
11	253	52654
12	276	52803
13	298	52938
14	317	52586
15	338	52527
16	361	52737
17	380	52527
18	403	52643
19	424	52688
20	446	52751
21	468	52801
22	491	52917
23	516	53298
24	537	53237
25	559	53226
26	578	52966
27	598	52823
28	619	52791
29	636	52444
30	653	52008
31	670	51733
32	687	51416
33	704	51095
34	719	50690
35	736	50419
36	753	50128
37	769	49853
38	787	49667
39	804	49459
40	821	49268
41	837	49035
42	855	48868
43	873	48753
44	889	48550
45	906	48373
46	924	48275
47	943	48192
48	960	48052
49	977	47873
50	994	47748
51	1012	47651
52	1028	47484
53	1045	47358
54	1064	47342
55	1082	47263
56	1099	47125
57	1115	46981
58	1133	46880
59	1150	46786
60	1166	46636
61	1183	46538
62	1201	46463
63	1217	46341
64	1233	46211
65	1251	46141
66	1268	46064
67	1285	45959
68	1301	45866
69	1317	45735
70	1334	45655
71	1351	45576
72	1366	45428
73	1383	45350
74	1399	45253
75	1415	45160
76	1431	45039
77	1447	44959
78	1464	44875
79	1483	44869
80	1503	44894
81	1519	44817
82	1536	44740
83	1552	44651
84	1565	44482
85	1581	44388
86	1597	44312
87	1612	44204
88	1629	44139
89	1645	44070
90	1665	44087
91	1684	44098
92	1703	44090
93	1721	44069
94	1740	44063
95	1758	44035
96	1780	44104
97	1796	44041
